Min_Time,Max_Time,Calib_Depth_NaNs,Orig_Depth_NaNs,Velocity_NaNs,Observations
2008-01-14 08:37:15,2008-01-14 23:59:55,570,570,0,11073
2008-01-15 00:00:00,2008-01-15 23:59:55,994,994,0,17280
2008-01-16 00:00:00,2008-01-16 23:59:55,1321,1321,0,17280
2008-01-17 00:00:00,2008-01-17 23:59:55,1046,1046,0,17280
2008-01-18 00:00:00,2008-01-18 23:59:55,866,866,0,17280
2008-01-19 00:00:00,2008-01-19 23:59:55,3638,3638,0,17280
2008-01-20 00:00:00,2008-01-20 23:59:55,17280,17280,0,17280
2008-01-21 00:00:00,2008-01-21 23:59:55,17280,17280,0,17280
2008-01-22 00:00:00,2008-01-22 23:59:55,17280,17280,0,17280
2008-01-23 00:00:00,2008-01-23 23:59:55,4823,4823,0,17280
2008-01-24 00:00:00,2008-01-24 23:59:55,1136,1136,0,17280
2008-01-25 00:00:00,2008-01-25 23:59:55,1945,1945,0,17280
2008-01-26 00:00:00,2008-01-26 23:59:55,1435,1435,0,17280
2008-01-27 00:00:00,2008-01-27 23:59:55,565,565,0,17280
2008-01-28 00:00:00,2008-01-28 05:15:20,242,242,0,3785
